Info 0    [02:00:51.513] Starting TS Server
Info 1    [02:00:51.519] Version: 4.3.2
Info 2    [02:00:51.519] Arguments: /Users/magcho/.fnm/node-versions/v14.17.1/installation/bin/node /var/folders/97/rndd2p4s52v72tkwyh39zql80000gn/T/fnm_multishells/90289_1625389462791/bin/tsserver --logFile /Users/magcho/Documents/git/teraform-tuto/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/97/rndd2p4s52v72tkwyh39zql80000gn/T/2a5f04a480626ac413ddc2ec6dde428d/tscancellation*
Info 3    [02:00:51.519] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [02:00:51.519] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [02:00:51.540] Search path: /Users/magcho/Documents/git/teraform-tuto/ws/ecs
Info 6    [02:00:51.541] For info: /Users/magcho/Documents/git/teraform-tuto/ws/ecs/container_definetions.json :: No config files found.
Info 7    [02:00:51.547] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [02:00:52.157] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 609.8259580135345ms
Info 9    [02:00:52.157] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [02:00:52.157] 	Files (19)

Info 11   [02:00:52.157] -----------------------------------------------
Info 12   [02:00:52.459] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [02:00:52.466] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 6.5223000049591064ms
Info 14   [02:00:52.466] Different program with same set of files:: structureIsReused:: 2
Info 15   [02:00:53.010] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [02:00:53.014] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 3.9593958854675293ms
Info 17   [02:00:53.014] Different program with same set of files:: structureIsReused:: 2
Info 18   [02:00:57.731] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [02:00:57.739] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 7.162935018539429ms
Info 20   [02:00:57.739] Different program with same set of files:: structureIsReused:: 2
Info 21   [02:00:58.423] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [02:00:58.428] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 5.276432037353516ms
Info 23   [02:00:58.428] Different program with same set of files:: structureIsReused:: 2
Info 24   [02:00:58.720] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 25   [02:00:58.725] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 5.032417058944702ms
Info 26   [02:00:58.725] Different program with same set of files:: structureIsReused:: 2
Info 27   [02:00:59.735] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [02:00:59.740] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 5.0937299728393555ms
Info 29   [02:00:59.740] Different program with same set of files:: structureIsReused:: 2
Info 30   [02:00:59.742] getCompletionData: Get current token: 0.021867036819458008
Info 31   [02:00:59.742] getCompletionData: Is inside comment: 0.012600898742675781
Info 32   [02:00:59.742] getCompletionData: Get previous token 1: 0.08801507949829102
Info 33   [02:00:59.742] getCompletionsAtPosition: isCompletionListBlocker: 0.07523393630981445
Info 34   [02:00:59.743] Returning an empty list because completion was requested in an invalid position.
Info 35   [02:00:59.744] getCompletionData: Get current token: 0.013638973236083984
Info 36   [02:00:59.744] getCompletionData: Is inside comment: 0.008303165435791016
Info 37   [02:00:59.744] getCompletionData: Get previous token 1: 0.0629279613494873
Info 38   [02:00:59.745] getCompletionsAtPosition: isCompletionListBlocker: 0.010761022567749023
Info 39   [02:00:59.745] Returning an empty list because completion was requested in an invalid position.
Info 40   [02:00:59.746] getCompletionData: Get current token: 0.01324009895324707
Info 41   [02:00:59.746] getCompletionData: Is inside comment: 0.008392095565795898
Info 42   [02:00:59.746] getCompletionData: Get previous token 1: 0.06026792526245117
Info 43   [02:00:59.746] getCompletionsAtPosition: isCompletionListBlocker: 0.008949041366577148
Info 44   [02:00:59.746] Returning an empty list because completion was requested in an invalid position.
Info 45   [02:01:00.178] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [02:01:00.183] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 5.241986036300659ms
Info 47   [02:01:00.183] Different program with same set of files:: structureIsReused:: 2
Info 48   [02:01:00.184] getCompletionData: Get current token: 0.02490711212158203
Info 49   [02:01:00.184] getCompletionData: Is inside comment: 0.009317874908447266
Info 50   [02:01:00.184] getCompletionData: Get previous token 1: 0.062371015548706055
Info 51   [02:01:00.184] getCompletionsAtPosition: isCompletionListBlocker: 0.011513948440551758
Info 52   [02:01:00.184] Returning an empty list because completion was requested in an invalid position.
Info 53   [02:01:00.186] getCompletionData: Get current token: 0.016484975814819336
Info 54   [02:01:00.186] getCompletionData: Is inside comment: 0.010689973831176758
Info 55   [02:01:00.186] getCompletionData: Get previous token 1: 0.05893087387084961
Info 56   [02:01:00.186] getCompletionsAtPosition: isCompletionListBlocker: 0.010905027389526367
Info 57   [02:01:00.186] Returning an empty list because completion was requested in an invalid position.
Info 58   [02:01:00.187] getCompletionData: Get current token: 0.014158964157104492
Info 59   [02:01:00.187] getCompletionData: Is inside comment: 0.019137144088745117
Info 60   [02:01:00.188] getCompletionData: Get previous token 1: 0.050662994384765625
Info 61   [02:01:00.188] getCompletionsAtPosition: isCompletionListBlocker: 0.009614944458007812
Info 62   [02:01:00.188] Returning an empty list because completion was requested in an invalid position.
Info 63   [02:01:01.632] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [02:01:01.638] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 5.650723934173584ms
Info 65   [02:01:01.638] Different program with same set of files:: structureIsReused:: 2
Info 66   [02:01:02.028] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [02:01:02.033] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 5.06407904624939ms
Info 68   [02:01:02.033] Different program with same set of files:: structureIsReused:: 2
Info 69   [02:01:02.219] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [02:01:02.223] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 3.4922120571136475ms
Info 71   [02:01:02.223] Different program with same set of files:: structureIsReused:: 2
Info 72   [02:01:02.466] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [02:01:02.470] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 3.925309896469116ms
Info 74   [02:01:02.470] Different program with same set of files:: structureIsReused:: 2
Info 75   [02:01:02.683] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [02:01:02.688] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 4.931349992752075ms
Info 77   [02:01:02.689] Different program with same set of files:: structureIsReused:: 2
Info 78   [02:01:02.820] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [02:01:02.825] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 4.6727049350738525ms
Info 80   [02:01:02.825] Different program with same set of files:: structureIsReused:: 2
Info 81   [02:01:03.825] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [02:01:03.831] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 5.3272318840026855ms
Info 83   [02:01:03.831] Different program with same set of files:: structureIsReused:: 2
Info 84   [02:01:04.945] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [02:01:04.950] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 4.825203895568848ms
Info 86   [02:01:04.950] Different program with same set of files:: structureIsReused:: 2
Info 87   [02:01:04.951] getCompletionData: Get current token: 0.012902021408081055
Info 88   [02:01:04.951] getCompletionData: Is inside comment: 0.05664515495300293
Info 89   [02:01:04.951] getCompletionData: Get previous token 1: 0.042833805084228516
Info 90   [02:01:04.952] getCompletionsAtPosition: isCompletionListBlocker: 0.4468820095062256
Info 91   [02:01:04.958] collectAutoImports: starting, not resolving module specifiers
Info 92   [02:01:04.958] collectAutoImports: module specifier cache size: 0
Info 93   [02:01:04.959] getSymbolToExportInfoMap: cache miss or empty; calculating new results
Info 94   [02:01:04.959] getSymbolToExportInfoMap: caching results
Info 95   [02:01:04.959] getSymbolToExportInfoMap: done in 1.0717799663543701 ms
Info 96   [02:01:04.959] collectAutoImports: done in 1.6410231590270996 ms
Info 97   [02:01:04.960] getCompletionData: Semantic work: 7.9398229122161865
Info 98   [02:01:04.984] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 24.05930805206299
Info 99   [02:01:05.807] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 100  [02:01:05.811] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 3.9175829887390137ms
Info 101  [02:01:05.811] Different program with same set of files:: structureIsReused:: 2
Info 102  [02:01:06.336] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 103  [02:01:06.342] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 5.523971080780029ms
Info 104  [02:01:06.342] Different program with same set of files:: structureIsReused:: 2
Info 105  [02:01:07.270] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 106  [02:01:07.275] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 4.909901142120361ms
Info 107  [02:01:07.275] Different program with same set of files:: structureIsReused:: 2
Info 108  [02:01:07.275] getCompletionData: Get current token: 0.012624979019165039
Info 109  [02:01:07.275] getCompletionData: Is inside comment: 0.009564876556396484
Info 110  [02:01:07.275] getCompletionData: Get previous token 1: 0.05734896659851074
Info 111  [02:01:07.275] getCompletionsAtPosition: isCompletionListBlocker: 0.011760950088500977
Info 112  [02:01:07.275] Returning an empty list because completion was requested in an invalid position.
Info 113  [02:01:07.277] getCompletionData: Get current token: 0.012377023696899414
Info 114  [02:01:07.277] getCompletionData: Is inside comment: 0.008544206619262695
Info 115  [02:01:07.277] getCompletionData: Get previous token 1: 0.05306887626647949
Info 116  [02:01:07.277] getCompletionsAtPosition: isCompletionListBlocker: 0.011222124099731445
